model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
XGBoost_log1p,UnifiedSchoolDistrict,New Haven Unified,21.0,0.6769785469457541,136040.10476190475,176305.8903794765,9.72038741636589,9.618443243243242
XGBoost_log1p,UnifiedSchoolDistrict,Newark Unified,23.0,0.6608405077619732,104424.27826086959,135645.88143094283,7.524148224949047,5.486791784702549
XGBoost_log1p,UnifiedSchoolDistrict,Newport-Mesa Unified,75.0,0.8964863329626156,373705.164,575827.6052076819,11.239353613428696,8.448426540284363
XGBoost_log1p,UnifiedSchoolDistrict,Norwalk-La Mirada Unified,38.0,0.7943723602220205,64278.829210526324,80158.76821257995,8.034703643867422,6.947530571992112
XGBoost_log1p,UnifiedSchoolDistrict,Oak Park Unified,12.0,0.8573971902172782,156745.7858333333,173093.39015935868,12.812491543893119,10.337699762312226
XGBoost_log1p,UnifiedSchoolDistrict,Oakland Unified,160.0,0.6861445285907244,252682.346875,361724.5870519493,21.010330294450778,17.050958930542247
XGBoost_log1p,UnifiedSchoolDistrict,Oceanside Unified,75.0,0.7975601682007651,115841.524,177308.71663199447,11.07260530070833,8.37708363636363
XGBoost_log1p,UnifiedSchoolDistrict,Ojai Unified,24.0,0.8140921651778941,322413.1516666667,468737.9016965671,17.577123677058648,14.65370965265784
XGBoost_log1p,UnifiedSchoolDistrict,Orange Unified,104.0,0.8178971568037261,172066.3464423077,238083.41166060077,11.442997601114332,9.523053085553999
XGBoost_log1p,UnifiedSchoolDistrict,Pacific Grove Unified,12.0,0.7962814940581223,368734.1866666666,492371.6441688851,15.204981674812243,15.684657921727396
XGBoost_log1p,UnifiedSchoolDistrict,Pajaro Valley Unified,32.0,0.637742851741744,303123.37062500004,502480.9496311188,19.60354395308516,16.564573415514374
XGBoost_log1p,UnifiedSchoolDistrict,Palm Springs Unified,213.0,0.8010119582801951,180141.62723004693,365302.0650759249,15.019575629146102,10.040272108843537
XGBoost_log1p,UnifiedSchoolDistrict,Palos Verdes Peninsula Unified,40.0,0.6928852246259167,363482.2875,642242.3989671838,12.133761861480115,10.271057994773958
XGBoost_log1p,UnifiedSchoolDistrict,Paradise Unified,28.0,0.8008634167117902,41079.81107142858,54165.969798906204,10.458638364412431,9.286216604542812
XGBoost_log1p,UnifiedSchoolDistrict,Paramount Unified,11.0,-0.6828847326381082,81584.60363636364,99413.05834024385,10.337365971699516,7.665312500000001
XGBoost_log1p,UnifiedSchoolDistrict,Pasadena Unified,89.0,0.887010351742346,247697.7875280899,400695.4857359874,12.528440620075655,10.52285
XGBoost_log1p,UnifiedSchoolDistrict,Paso Robles Joint Unified,42.0,0.9220447783240932,91517.78690476192,129805.06637648225,14.884826591607023,8.29700913183122
XGBoost_log1p,UnifiedSchoolDistrict,Piedmont City Unified,14.0,0.7762111500284637,630506.9714285714,757480.3166427005,17.08540510101838,15.927438480264303
XGBoost_log1p,UnifiedSchoolDistrict,Pittsburg Unified,25.0,0.7508874703422944,37464.616799999996,44740.927656568674,7.196349132022549,6.427725417439693
XGBoost_log1p,UnifiedSchoolDistrict,Placentia-Yorba Linda Unified,82.0,0.9143277153474353,125993.95390243901,171867.9736732683,8.829127071936549,7.1850020000000026
XGBoost_log1p,UnifiedSchoolDistrict,Pleasanton Unified,29.0,0.9252915636352089,233187.4710344828,333197.96330520185,9.656293418332579,8.066904109589041
XGBoost_log1p,UnifiedSchoolDistrict,Pomona Unified,62.0,0.8157494951166997,65434.35129032257,88107.7467057149,9.604969905146865,6.754714866215815
XGBoost_log1p,UnifiedSchoolDistrict,Poway Unified,123.0,0.8244701173751718,191653.56,335363.81004040135,10.099695716879916,7.947642987249538
XGBoost_log1p,UnifiedSchoolDistrict,Ramona City Unified,26.0,0.574973375703827,155450.69884615386,273417.19559058076,14.82439586023086,9.624872786321342
XGBoost_log1p,UnifiedSchoolDistrict,Redlands Unified,94.0,0.8948625893056981,65166.1319148936,128165.26133843912,8.377192748582567,5.676364464478787
XGBoost_log1p,UnifiedSchoolDistrict,Redondo Beach Unified,18.0,0.821253138704761,164619.45555555556,256488.08279309105,7.567283712587923,7.470056756085442
